,Name,City,State_x,Location,Acceptance_Rate,Price,Average_Salary_After_10_Years,Graduation_Rate,Student_Population,University_Type,room_board_expense,student_faculty_ratio,Zip,State_y,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
11356,Lawrence Technological University,Southfield,MI,"Southfield, MI",0.7929999999999999,51846.0,59800.0,0.5,2915.0,Private,,11.0,1259,MA,42.0645,-73.24674,-5,1,"42.0645,-73.24674"
11362,Madonna University,Livonia,MI,"Livonia, MI",0.746,38600.0,42400.0,0.56,3044.0,Private,,13.0,14487,NY,42.809908,-77.65301,-5,1,"42.809908,-77.65301"
11370,Michigan State University,East Lansing,MI,"East Lansing, MI",0.711,29130.0,60000.0,0.78,50351.0,Public,,16.0,48825,MI,42.723784,-84.464775,-5,1,"42.723784,-84.464775"
11374,Michigan Technological University,Houghton,MI,"Houghton, MI",0.743,30542.0,66000.0,0.64,7172.0,Public,,13.0,14744,NY,42.426885,-78.19509000000001,-5,1,"42.426885,-78.19509"
11379,Houghton College,Houghton,NY,"Houghton, NY",0.807,46876.0,44300.0,0.74,1001.0,Private,,11.0,14744,NY,42.426885,-78.19509000000001,-5,1,"42.426885,-78.19509"
11384,Spring Arbor University,Spring Arbor,MI,"Spring Arbor, MI",0.657,42470.0,42600.0,0.53,3436.0,Private,,11.0,49283,MI,42.203838,-84.55243,-5,1,"42.203838,-84.55243"
11385,Western Michigan University,Kalamazoo,MI,"Kalamazoo, MI",0.799,27071.0,48900.0,0.54,22562.0,Public,,17.0,49004,MI,42.330089,-85.56635,-5,1,"42.330089,-85.56635"
11395,Augsburg College,Minneapolis,MN,"Minneapolis, MN",0.762,54211.0,52000.0,0.59,3419.0,Private,,13.0,55483,MN,45.015914,-93.47188,-6,1,"45.015914,-93.47188"
11466,Bethany Lutheran College,Mankato,MN,"Mankato, MN",0.726,38820.0,37300.0,0.52,739.0,Private,,9.0,56003,MN,44.184909000000005,-94.04244,-6,1,"44.184909,-94.04244"
11471,Carleton College,Northfield,MN,"Northfield, MN",0.191,74275.0,65600.0,0.94,2097.0,Private,,9.0,1354,MA,42.522178000000004,-72.62416400000001,-5,1,"42.522178,-72.624164"
11478,St Olaf College,Northfield,MN,"Northfield, MN",0.475,62880.0,53700.0,0.88,3048.0,Private,,12.0,1354,MA,42.522178000000004,-72.62416400000001,-5,1,"42.522178,-72.624164"
11485,Concordia College at Moorhead,Moorhead,MN,"Moorhead, MN",0.684,54046.0,48300.0,0.73,2129.0,Private,,11.0,51558,IA,41.911376000000004,-95.86092,-6,1,"41.911376,-95.86092"
11491,Martin Luther College,New Ulm,MN,"New Ulm, MN",0.838,27230.0,38000.0,0.72,972.0,Private,,12.0,56073,MN,44.308395000000004,-94.46149,-6,1,"44.308395,-94.46149"
11493,College of Saint Benedict,Saint Joseph,MN,"Saint Joseph, MN",0.805,60028.0,53700.0,0.83,1782.0,Private,,12.0,61873,IL,40.124202000000004,-88.03401,-6,1,"40.124202,-88.03401"
11507,Saint Johns University,Collegeville,MN,"Collegeville, MN",0.7829999999999999,59572.0,64400.0,0.79,1777.0,Private,,12.0,19426,PA,40.185637,-75.44873,-5,1,"40.185637,-75.44873"
11509,Crown College,Saint Bonifacius,MN,"Saint Bonifacius, MN",0.498,41778.0,36100.0,0.57,1510.0,Private,,19.0,55375,MN,44.906512,-93.7439,-6,1,"44.906512,-93.7439"
11701,Winona State University,Winona,MN,"Winona, MN",0.679,22304.0,46100.0,0.58,7792.0,Public,,19.0,75792,TX,32.476905,-95.13088,-6,1,"32.476905,-95.13088"
11710,Blue Mountain College,Blue Mountain,MS,"Blue Mountain, MS",0.9570000000000001,25825.0,29700.0,0.5,640.0,Private,,14.0,72826,AR,35.161856,-93.65615,-6,1,"35.161856,-93.65615"
11712,Millsaps College,Jackson,MS,"Jackson, MS",0.688,58524.0,50400.0,0.65,865.0,Private,,9.0,39210,MS,32.325012,-90.17902,-6,1,"32.325012,-90.17902"
11776,University of Mississippi,University,MS,"University, MS",0.8809999999999999,25762.0,52700.0,0.61,22456.0,Public,,18.0,38677,MS,34.366302000000005,-89.53721,-6,1,"34.366302,-89.53721"
11777,Mississippi University for Women,Columbus,MS,"Columbus, MS",0.966,20888.0,37800.0,0.43,2711.0,Public,,14.0,68601,NE,41.437838,-97.37191999999999,-6,1,"41.437838,-97.37192"
11864,Capital University,Columbus,OH,"Columbus, OH",0.721,52176.0,47300.0,0.61,3213.0,Private,,11.0,68601,NE,41.437838,-97.37191999999999,-6,1,"41.437838,-97.37192"
11951,Mississippi College,Clinton,MS,"Clinton, MS",0.42,35312.0,44100.0,0.54,5103.0,Private,,14.0,37717,TN,36.110028,-84.167208,-5,1,"36.110028,-84.167208"
11986,Hamilton College,Clinton,NY,"Clinton, NY",0.16399999999999998,72390.0,79000.0,0.92,2005.0,Private,,9.0,37717,TN,36.110028,-84.167208,-5,1,"36.110028,-84.167208"
12021,Mississippi State University,Mississippi State,MS,"Mississippi State, MS",0.539,25904.0,47500.0,0.6,21974.0,Public,,20.0,39762,MS,33.453348999999996,-88.79106999999999,-6,1,"33.453349,-88.79107"
12022,William Carey University,Hattiesburg,MS,"Hattiesburg, MS",0.55,23639.0,40900.0,0.56,5042.0,Private,,14.0,39403,MS,31.356641999999997,-89.38241500000001,-6,1,"31.356642,-89.382415"
12028,Avila University,Kansas City,MO,"Kansas City, MO",0.41100000000000003,32442.0,45100.0,0.51,1649.0,Private,,12.0,64126,MO,39.092304,-94.49948,-6,1,"39.092304,-94.49948"
12124,Rockhurst University,Kansas City,MO,"Kansas City, MO",0.637,54515.0,53500.0,0.7,3145.0,Private,,13.0,64126,MO,39.092304,-94.49948,-6,1,"39.092304,-94.49948"
12220,Fontbonne University,Saint Louis,MO,"Saint Louis, MO",0.787,43190.0,46400.0,0.51,1290.0,Private,,10.0,63196,MO,38.6531,-90.243462,-6,1,"38.6531,-90.243462"
12293,Maryville University of Saint Louis,Saint Louis,MO,"Saint Louis, MO",0.8290000000000001,47542.0,50500.0,0.69,9139.0,Private,,14.0,63196,MO,38.6531,-90.243462,-6,1,"38.6531,-90.243462"
12366,St Louis College of Pharmacy,Saint Louis,MO,"Saint Louis, MO",0.917,47506.0,106500.0,0.73,1195.0,Private,,9.0,63196,MO,38.6531,-90.243462,-6,1,"38.6531,-90.243462"
12439,Washington University in St Louis,Saint Louis,MO,"Saint Louis, MO",0.139,76910.0,82800.0,0.94,15852.0,Private,,8.0,63196,MO,38.6531,-90.243462,-6,1,"38.6531,-90.243462"
12512,Webster University,Saint Louis,MO,"Saint Louis, MO",0.569,46632.0,46800.0,0.63,11406.0,Private,,12.0,63196,MO,38.6531,-90.243462,-6,1,"38.6531,-90.243462"
12585,Missouri University of Science and Technology,Rolla,MO,"Rolla, MO",0.792,23294.0,68400.0,0.64,8601.0,Public,,19.0,65401,MO,37.94384,-91.77105,-6,1,"37.94384,-91.77105"
12590,Northwest Missouri State University,Maryville,MO,"Maryville, MO",0.732,20235.0,41200.0,0.5,6857.0,Public,,21.0,37804,TN,35.781607,-83.93590999999999,-5,1,"35.781607,-83.93591"
12596,Ozark Christian College,Joplin,MO,"Joplin, MO",,23078.0,32200.0,0.49,608.0,Private,,15.0,59531,MT,48.675352000000004,-110.8269,-7,1,"48.675352,-110.8269"
12601,Southwest Baptist University,Bolivar,MO,"Bolivar, MO",0.7090000000000001,35898.0,36700.0,0.5,3357.0,Private,,12.0,15923,PA,40.372103,-79.14574,-5,1,"40.372103,-79.14574"
12607,Stephens College,Columbia,MO,"Columbia, MO",0.562,38612.0,37400.0,0.52,756.0,Private,,9.0,29203,SC,34.066271,-81.02492,-5,1,"34.066271,-81.02492"
12672,Westminster College,Salt Lake City,UT,"Salt Lake City, UT",0.9179999999999999,50276.0,53900.0,0.61,2477.0,Private,,11.0,84112,UT,40.76784,-111.83805,-7,1,"40.76784,-111.83805"
12750,William Jewell College,Liberty,MO,"Liberty, MO",0.461,49248.0,48500.0,0.61,808.0,Private,,10.0,62347,IL,39.876235,-91.1106,-6,1,"39.876235,-91.1106"
12767,Carroll College,Helena,MT,"Helena, MT",0.6890000000000001,50838.0,47500.0,0.63,1335.0,Private,,11.0,64459,MO,39.917997,-94.64152,-6,1,"39.917997,-94.64152"
12782,Montana Tech of the University of Montana,Butte,MT,"Butte, MT",0.91,22808.0,50400.0,0.41,1844.0,Public,,14.0,59703,MT,45.905345000000004,-112.63770500000001,-7,1,"45.905345,-112.637705"
12789,Montana State University,Bozeman,MT,"Bozeman, MT",0.8190000000000001,22813.0,45800.0,0.51,16814.0,Public,,19.0,59717,MT,45.627982,-110.90128,-7,1,"45.627982,-110.90128"
12796,The University of Montana,Missoula,MT,"Missoula, MT",0.94,21668.0,41000.0,0.46,10962.0,Public,,17.0,59807,MT,46.910342,-113.95868600000001,-7,1,"46.910342,-113.958686"
12804,Rocky Mountain College,Billings,MT,"Billings, MT",0.5920000000000001,42574.0,46800.0,0.43,997.0,Private,,11.0,59115,MT,45.978288,-108.19450800000001,-7,1,"45.978288,-108.194508"
12821,Creighton University,Omaha,NE,"Omaha, NE",0.737,56674.0,66600.0,0.78,8910.0,Private,,11.0,68101,NE,41.291736,-96.171104,-6,1,"41.291736,-96.171104"
12874,Hastings College,Hastings,NE,"Hastings, NE",0.6679999999999999,45420.0,45000.0,0.59,1080.0,Private,,13.0,55033,MN,44.726517,-92.86147,-6,1,"44.726517,-92.86147"
12883,University of Nebraska at Kearney,Kearney,NE,"Kearney, NE",0.852,23652.0,43400.0,0.56,6327.0,Public,,14.0,68847,NE,40.709895,-99.05499,-6,1,"40.709895,-99.05499"
12888,Saint Anselm College,Manchester,NH,"Manchester, NH",0.752,61550.0,60100.0,0.74,2024.0,Private,,11.0,3109,NH,42.972584000000005,-71.41349,-5,1,"42.972584,-71.41349"
12918,Caldwell College,Caldwell,NJ,"Caldwell, NJ",0.9329999999999999,54155.0,46800.0,0.63,2189.0,Private,,12.0,43724,OH,39.741628999999996,-81.52512,-5,1,"39.741629,-81.52512"
12928,Centenary College,Hackettstown,NJ,"Hackettstown, NJ",0.75,50140.0,49600.0,0.6,1802.0,Private,,14.0,7840,NJ,40.861748,-74.83054,-5,1,"40.861748,-74.83054"
12929,Monmouth University,West Long Branch,NJ,"West Long Branch, NJ",0.7659999999999999,59054.0,56500.0,0.67,6167.0,Private,,13.0,7764,NJ,40.289984999999994,-74.01671,-5,1,"40.289985,-74.01671"
12930,Princeton University,Princeton,NJ,"Princeton, NJ",0.057999999999999996,74150.0,113900.0,0.97,8374.0,Private,,5.0,4668,ME,45.188555,-67.59063,-5,1,"45.188555,-67.59063"
12953,Ramapo College of New Jersey,Mahwah,NJ,"Mahwah, NJ",0.6559999999999999,32404.0,51400.0,0.73,6174.0,Public,,17.0,7430,NJ,41.077102000000004,-74.16147,-5,1,"41.077102,-74.16147"
12956,Rider University,Lawrenceville,NJ,"Lawrenceville, NJ",0.715,63850.0,53000.0,0.64,4824.0,Private,,11.0,30046,GA,33.960353000000005,-84.037859,-5,1,"33.960353,-84.037859"
12965,Seton Hall University,South Orange,NJ,"South Orange, NJ",0.736,63002.0,62700.0,0.65,10162.0,Private,,14.0,7079,NJ,40.74765,-74.25881,-5,1,"40.74765,-74.25881"
12966,Stevens Institute of Technology,Hoboken,NJ,"Hoboken, NJ",0.4,72034.0,89100.0,0.82,6929.0,Private,,10.0,7030,NJ,40.744851000000004,-74.03294,-5,1,"40.744851,-74.03294"
12968,The Richard Stockton College of New Jersey,Galloway,NJ,"Galloway, NJ",0.763,31364.0,49100.0,0.7,9621.0,Public,,17.0,43119,OH,39.939871000000004,-83.1667,-5,1,"39.939871,-83.1667"
12971,The College of New Jersey,Ewing,NJ,"Ewing, NJ",0.493,36093.0,62100.0,0.86,7686.0,Public,,13.0,68735,NE,42.189510999999996,-98.42285,-6,1,"42.189511,-98.42285"
12976,New Mexico Institute of Mining and Technology,Socorro,NM,"Socorro, NM",0.7979999999999999,22930.0,61800.0,0.47,1895.0,Public,,11.0,87801,NM,33.953237,-106.93722,-7,1,"33.953237,-106.93722"
12977,Adelphi University,Garden City,NY,"Garden City, NY",0.743,61636.0,58400.0,0.66,8146.0,Private,,11.0,11599,NY,40.607574,-73.74269100000001,-5,1,"40.607574,-73.742691"
12994,Albany College of Pharmacy and Health Sciences,Albany,NY,"Albany, NY",0.711,51351.0,111500.0,0.74,1331.0,Private,,9.0,45710,OH,39.202517,-82.21421,-5,1,"39.202517,-82.21421"
13070,SUNY at Albany,Albany,NY,"Albany, NY",0.5429999999999999,27136.0,55800.0,0.67,17944.0,Public,,19.0,45710,OH,39.202517,-82.21421,-5,1,"39.202517,-82.21421"
13146,Barnard College,New York,NY,"New York, NY",0.11800000000000001,78044.0,66900.0,0.9,2562.0,Private,,10.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
13313,Columbia University in the City of New York,New York,NY,"New York, NY",0.054000000000000006,79752.0,107600.0,0.95,31077.0,Private,,6.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
13480,Cooper Union for the Advancement of Science and Art,New York,NY,"New York, NY",0.155,66713.0,64000.0,0.83,952.0,Private,,9.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
13647,Jewish Theological Seminary of America,New York,NY,"New York, NY",0.595,79512.0,,0.83,336.0,Private,,4.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
13814,LIM College,New York,NY,"New York, NY",0.835,52250.0,50400.0,0.53,1781.0,Private,,13.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
13981,Marymount Manhattan College,New York,NY,"New York, NY",0.7959999999999999,61550.0,44800.0,0.43,2063.0,Private,,11.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
14148,The New School,New York,NY,"New York, NY",0.573,73396.0,52700.0,0.62,10544.0,Private,,10.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
14315,New York University,New York,NY,"New York, NY",0.162,75502.0,76000.0,0.83,51847.0,Private,,9.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
14482,Yeshiva University,New York,NY,"New York, NY",0.5539999999999999,64050.0,72200.0,0.87,6479.0,Private,,7.0,10101,NY,40.780751,-73.977182,-5,1,"40.780751,-73.977182"
14649,Canisius College,Buffalo,NY,"Buffalo, NY",0.8270000000000001,43454.0,49900.0,0.69,3244.0,Private,,11.0,14210,NY,42.866708,-78.83139,-5,1,"42.866708,-78.83139"
14710,D'Youville College,Buffalo,NY,"Buffalo, NY",,,,,,Unknown,,11.0,14210,NY,42.866708,-78.83139,-5,1,"42.866708,-78.83139"
14771,Clarkson University,Potsdam,NY,"Potsdam, NY",0.746,70228.0,70800.0,0.72,4274.0,Private,,14.0,13699,NY,44.496564,-75.072951,-5,1,"44.496564,-75.072951"
14774,Colgate University,Hamilton,NY,"Hamilton, NY",0.226,75015.0,75300.0,0.91,2969.0,Private,,9.0,27840,NC,35.948738,-77.2083,-5,1,"35.948738,-77.2083"
14802,Cornell University,Ithaca,NY,"Ithaca, NY",0.109,76258.0,98400.0,0.93,23600.0,Private,,9.0,48847,MI,43.269967,-84.59181,-5,1,"43.269967,-84.59181"
14808,Elmira College,Elmira,NY,"Elmira, NY",0.8009999999999999,49050.0,46000.0,0.56,892.0,Private,,10.0,26618,WV,38.706016999999996,-80.736884,-5,1,"38.706017,-80.736884"
14818,Fordham University,Bronx,NY,"Bronx, NY",0.45899999999999996,76891.0,64200.0,0.8,16515.0,Private,,15.0,10464,NY,40.857017,-73.78903000000001,-5,1,"40.857017,-73.78903"
14844,Hobart William Smith Colleges,Geneva,NY,"Geneva, NY",0.6609999999999999,74375.0,60200.0,0.8,2241.0,Private,,10.0,31810,GA,32.577909999999996,-84.54513,-5,1,"32.57791,-84.54513"
14856,Hofstra University,Hempstead,NY,"Hempstead, NY",0.685,66260.0,59200.0,0.6,10871.0,Private,,13.0,77445,TX,30.096649,-96.06979,-6,1,"30.096649,-96.06979"
14860,Le Moyne College,Syracuse,NY,"Syracuse, NY",0.736,52040.0,52800.0,0.7,3356.0,Private,,13.0,68446,NE,40.656898999999996,-96.18200999999999,-6,1,"40.656899,-96.18201"
14894,SUNY College of Environmental Science and Forestry,Syracuse,NY,"Syracuse, NY",0.695,29680.0,46200.0,0.71,2220.0,Public,,15.0,68446,NE,40.656898999999996,-96.18200999999999,-6,1,"40.656899,-96.18201"
14928,Syracuse University,Syracuse,NY,"Syracuse, NY",0.444,73069.0,65900.0,0.81,22803.0,Private,,15.0,68446,NE,40.656898999999996,-96.18200999999999,-6,1,"40.656899,-96.18201"
14962,Manhattan College,Riverdale,NY,"Riverdale, NY",,64730.0,66700.0,0.74,4232.0,Private,,13.0,7457,NJ,40.990032,-74.31023,-5,1,"40.990032,-74.31023"
14972,Niagara University,Niagara University,NY,"Niagara University, NY",0.892,49660.0,43100.0,0.64,3763.0,Private,,11.0,14109,NY,43.326840000000004,-78.83068100000001,-5,1,"43.32684,-78.830681"
14973,New York Institute of Technology,Old Westbury,NY,"Old Westbury, NY",0.6779999999999999,59953.0,64900.0,0.45,7173.0,Private,,12.0,11568,NY,40.787368,-73.60119,-5,1,"40.787368,-73.60119"
14974,Roberts Wesleyan College,Rochester,NY,"Rochester, NY",0.6659999999999999,47360.0,44200.0,0.63,1739.0,Private,,12.0,14673,NY,43.286024,-77.684264,-5,1,"43.286024,-77.684264"
15044,Rochester Institute of Technology,Rochester,NY,"Rochester, NY",0.7070000000000001,61474.0,64900.0,0.65,16463.0,Private,,13.0,14673,NY,43.286024,-77.684264,-5,1,"43.286024,-77.684264"
15114,University of Rochester,Rochester,NY,"Rochester, NY",0.297,75190.0,71000.0,0.86,11817.0,Private,,10.0,14673,NY,43.286024,-77.684264,-5,1,"43.286024,-77.684264"
15184,Saint John Fisher College,Rochester,NY,"Rochester, NY",0.645,50300.0,50800.0,0.72,3712.0,Private,,12.0,14673,NY,43.286024,-77.684264,-5,1,"43.286024,-77.684264"
15254,St Lawrence University,Canton,NY,"Canton, NY",0.424,73045.0,53100.0,0.86,2522.0,Private,,11.0,28716,NC,35.503301,-82.85103000000001,-5,1,"35.503301,-82.85103"
15295,Sarah Lawrence College,Bronxville,NY,"Bronxville, NY",0.531,74740.0,44100.0,0.78,1709.0,Private,,9.0,10708,NY,40.939049,-73.83099,-5,1,"40.939049,-73.83099"
15296,Skidmore College,Saratoga Springs,NY,"Saratoga Springs, NY",0.3,74140.0,54400.0,0.86,2613.0,Private,,8.0,12866,NY,43.080399,-73.77038,-5,1,"43.080399,-73.77038"
15297,SUNY College of Technology at Alfred,Alfred,NY,"Alfred, NY",0.667,26211.0,42100.0,0.49,3737.0,Public,,18.0,4002,ME,43.490939000000004,-70.6884,-5,1,"43.490939,-70.6884"
15299,Farmingdale State College,Farmingdale,NY,"Farmingdale, NY",0.5489999999999999,25156.0,53500.0,0.46,9970.0,Public,,20.0,11735,NY,40.725968,-73.44151,-5,1,"40.725968,-73.44151"
15305,SUNY at Binghamton,Vestal,NY,"Vestal, NY",0.405,28269.0,64500.0,0.81,17768.0,Public,,19.0,13850,NY,42.075874,-76.02837,-5,1,"42.075874,-76.02837"
15307,Stony Brook University,Stony Brook,NY,"Stony Brook, NY",0.441,27221.0,59300.0,0.68,26256.0,Public,,18.0,11790,NY,40.906174,-73.12748,-5,1,"40.906174,-73.12748"
15309,SUNY College at Cortland,Cortland,NY,"Cortland, NY",0.46,25744.0,47300.0,0.7,6858.0,Public,,16.0,44410,OH,41.333312,-80.7264,-5,1,"41.333312,-80.7264"
15314,SUNY at Fredonia,Fredonia,NY,"Fredonia, NY",0.711,23969.0,42300.0,0.66,4655.0,Public,,14.0,14063,NY,42.425683,-79.3371,-5,1,"42.425683,-79.3371"
15323,State University of New York at New Paltz,New Paltz,NY,"New Paltz, NY",0.452,26230.0,47400.0,0.73,7608.0,Public,,16.0,12561,NY,41.751566,-74.09475,-5,1,"41.751566,-74.09475"
15324,SUNY College at Oswego,Oswego,NY,"Oswego, NY",0.541,25507.0,44800.0,0.65,7986.0,Public,,17.0,13126,NY,43.449201,-76.47991999999999,-5,1,"43.449201,-76.47992"
15327,SUNY College at Plattsburgh,Plattsburgh,NY,"Plattsburgh, NY",0.585,26662.0,44000.0,0.63,5704.0,Public,,16.0,12903,NY,44.683468,-73.44639000000001,-5,1,"44.683468,-73.44639"
15329,United States Military Academy,West Point,NY,"West Point, New York",0.12,0.0,,,4589.0,Public,,7.0,40179,KY,37.998628000000004,-85.946585,-5,1,"37.998628,-85.946585"
15344,Vassar College,Poughkeepsie,NY,"Poughkeepsie, NY",0.237,75240.0,58400.0,0.91,2456.0,Private,,8.0,72569,AR,36.085113,-91.46585999999999,-6,1,"36.085113,-91.46586"
15349,Appalachian State University,Boone,NC,"Boone, NC",0.768,19715.0,41600.0,0.7,19108.0,Public,,16.0,28607,NC,36.21277,-81.66255,-5,1,"36.21277,-81.66255"
15354,Cabarrus College of Health Sciences,Concord,NC,"Concord, NC",0.276,30494.0,44900.0,0.38,433.0,Private,,7.0,94524,CA,37.777208,-121.955399,-8,1,"37.777208,-121.955399"
15379,Campbell University,Buies Creek,NC,"Buies Creek, NC",0.777,52420.0,55500.0,0.52,6448.0,Private,,15.0,27506,NC,35.406513000000004,-78.73848000000001,-5,1,"35.406513,-78.73848"
15380,Davidson College,Davidson,NC,"Davidson, NC",0.18100000000000002,70744.0,63500.0,0.93,1843.0,Private,,9.0,28036,NC,35.490772,-80.82576,-5,1,"35.490772,-80.82576"
15382,Duke University,Durham,NC,"Durham, NC",0.076,77029.0,108900.0,0.95,16606.0,Private,,7.0,27704,NC,36.034561,-78.86891999999999,-5,1,"36.034561,-78.86892"
15408,Mars Hill University,Mars Hill,NC,"Mars Hill, NC",0.633,45896.0,32300.0,0.35,1154.0,Private,,11.0,4758,ME,46.512409000000005,-67.86655,-5,1,"46.512409,-67.86655"
15410,Meredith College,Raleigh,NC,"Raleigh, NC",0.647,52670.0,40000.0,0.62,1905.0,Private,,12.0,27622,NC,35.797692,-78.625265,-5,1,"35.797692,-78.625265"
15459,North Carolina State University at Raleigh,Raleigh,NC,"Raleigh, NC",0.451,24259.0,57200.0,0.75,35479.0,Public,,13.0,27622,NC,35.797692,-78.625265,-5,1,"35.797692,-78.625265"
15508,University of North Carolina at Asheville,Asheville,NC,"Asheville, NC",0.84,20555.0,37900.0,0.62,3762.0,Public,,13.0,28815,NC,35.620335,-82.52855799999999,-5,1,"35.620335,-82.528558"
15521,University of North Carolina at Chapel Hill,Chapel Hill,NC,"Chapel Hill, NC",0.226,24228.0,66100.0,0.9,30011.0,Public,,13.0,27599,NC,36.05251,-79.107692,-5,1,"36.05251,-79.107692"
15527,University of North Carolina at Charlotte,Charlotte,NC,"Charlotte, NC",0.65,25019.0,48600.0,0.54,29710.0,Public,,19.0,28218,NC,35.260020000000004,-80.804151,-5,1,"35.26002,-80.804151"
15610,Queens University of Charlotte,Charlotte,NC,"Charlotte, NC",0.652,50590.0,44100.0,0.57,2536.0,Private,,10.0,28218,NC,35.260020000000004,-80.804151,-5,1,"35.26002,-80.804151"
15693,University of North Carolina at Greensboro,Greensboro,NC,"Greensboro, NC",0.825,19937.0,39100.0,0.56,20106.0,Public,,18.0,27429,NC,36.080707000000004,-80.0244,-5,1,"36.080707,-80.0244"
15730,Warren Wilson College,Swannanoa,NC,"Swannanoa, NC",0.846,52504.0,30800.0,0.52,741.0,Private,,9.0,28778,NC,35.60243,-82.40531,-5,1,"35.60243,-82.40531"
15731,Wingate University,Wingate,NC,"Wingate, NC",0.887,50370.0,52900.0,0.52,3689.0,Private,,16.0,28174,NC,34.981605,-80.44305,-5,1,"34.981605,-80.44305"
15735,Western Carolina University,Cullowhee,NC,"Cullowhee, NC",0.687,18740.0,39100.0,0.58,11639.0,Public,,17.0,28723,NC,35.256240999999996,-83.14464,-5,1,"35.256241,-83.14464"
15736,University of Mary,Bismarck,ND,"Bismarck, ND",0.735,30500.0,51900.0,0.52,3796.0,Private,,14.0,58507,ND,46.980475,-100.52006300000001,-6,1,"46.980475,-100.520063"
15746,Minot State University,Minot,ND,"Minot, ND",0.667,19386.0,45200.0,0.42,3189.0,Public,,12.0,2055,MA,41.970473999999996,-70.701357,-5,1,"41.970474,-70.701357"
15753,Ashland University,Ashland,OH,"Ashland, OH",0.7120000000000001,35828.0,40400.0,0.57,6627.0,Private,,16.0,4752,ME,46.602477,-68.410131,-5,1,"46.602477,-68.410131"
15776,Kennesaw State University,Kennesaw,GA,"Kennesaw, Georgia",0.625,18879.0,,,,Public,,,30152,GA,34.002146999999994,-84.63391999999999,-5,1,"34.002147,-84.63392"
15778,Southern Polytechnic State University,Marietta,GA,"Marietta, Georgia",0.79,15929.0,,,,Public,,,38856,MS,34.481995,-88.45205,-6,1,"34.481995,-88.45205"
