,Name,City,State_x,Location,Acceptance_Rate,Price,Average_Salary_After_10_Years,Graduation_Rate,Student_Population,University_Type,room_board_expense,student_faculty_ratio,Zip,State_y,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
8998,Dartmouth College,Hanover,NH,"Hanover, NH",0.079,77152.0,104000.0,0.95,6572.0,Private,,7.0,49241,MI,42.107907,-84.60334,-5,1,"42.107907,-84.60334"
9017,Huntington University,Huntington,IN,"Huntington, IN",0.755,38974.0,36600.0,0.62,1302.0,Private,8456.0,12.0,25703,WV,38.421443,-82.41924,-5,1,"38.421443,-82.41924"
9065,Indiana Wesleyan University,Marion,IN,"Marion, IN",0.67,39532.0,54300.0,0.61,3188.0,Private,8148.0,14.0,57043,SD,43.422579999999996,-97.29026,-6,1,"43.42258,-97.29026"
9093,University of Notre Dame,Notre Dame,IN,"Notre Dame, IN",0.158,74193.0,89800.0,0.96,12607.0,Private,14358.0,10.0,46556,IN,41.701415000000004,-86.24498,-5,0,"41.701415,-86.24498"
9094,Saint Mary's College,Notre Dame,IN,"Notre Dame, IN",,,,,,Unknown,11720.0,9.0,46556,IN,41.701415000000004,-86.24498,-5,0,"41.701415,-86.24498"
9095,Taylor University,Upland,IN,"Upland, IN",0.6809999999999999,48755.0,41300.0,0.76,2195.0,Private,8845.0,13.0,91785,CA,34.839964,-115.967051,-8,1,"34.839964,-115.967051"
9100,Trine University,Angola,IN,"Angola, IN",0.816,48620.0,46400.0,0.55,4320.0,Private,10350.0,14.0,14006,NY,42.633375,-79.04567,-5,1,"42.633375,-79.04567"
9103,Valparaiso University,Valparaiso,IN,"Valparaiso, IN",0.858,56900.0,54000.0,0.67,3786.0,Private,10920.0,12.0,46385,IN,41.484652000000004,-87.11269,-6,1,"41.484652,-87.11269"
9108,Wabash College,Crawfordsville,IN,"Crawfordsville, IN",0.642,58770.0,62800.0,0.73,882.0,Private,9600.0,10.0,72327,AR,35.232817,-90.33123,-6,1,"35.232817,-90.33123"
9118,Buena Vista University,Storm Lake,IA,"Storm Lake, IA",0.574,48375.0,41200.0,0.48,1846.0,Private,9304.0,9.0,50588,IA,42.646924,-95.1807,-6,1,"42.646924,-95.1807"
9119,Central College,Pella,IA,"Pella, IA",0.6509999999999999,53402.0,48000.0,0.67,1117.0,Private,9980.0,12.0,50219,IA,41.411394,-92.91126,-6,1,"41.411394,-92.91126"
9120,Clarke University,Dubuque,IA,"Dubuque, IA",0.9390000000000001,49360.0,42800.0,0.65,1004.0,Private,9200.0,8.0,52001,IA,42.515252000000004,-90.6794,-6,1,"42.515252,-90.6794"
9125,Emmaus Bible College,Dubuque,IA,"Dubuque, IA",,29950.0,31700.0,0.79,238.0,Private,7100.0,10.0,52001,IA,42.515252000000004,-90.6794,-6,1,"42.515252,-90.6794"
9130,Loras College,Dubuque,IA,"Dubuque, IA",0.753,46754.0,49200.0,0.67,1489.0,Private,7700.0,12.0,52001,IA,42.515252000000004,-90.6794,-6,1,"42.515252,-90.6794"
9135,Cornell College,Mount Vernon,IA,"Mount Vernon, IA",0.618,60337.0,45400.0,0.67,1028.0,Private,8900.0,11.0,10553,NY,40.909288000000004,-73.8215,-5,1,"40.909288,-73.8215"
9158,Dordt College,Sioux Center,IA,"Sioux Center, IA",0.755,46400.0,43300.0,0.67,1564.0,Private,8730.0,14.0,51250,IA,43.075142,-96.19039000000001,-6,1,"43.075142,-96.19039"
9159,Drake University,Des Moines,IA,"Des Moines, IA",0.6759999999999999,58488.0,68500.0,0.77,4869.0,Private,9850.0,11.0,50364,IA,41.672686999999996,-93.57217299999999,-6,1,"41.672687,-93.572173"
9219,Grinnell College,Grinnell,IA,"Grinnell, IA",0.231,70746.0,59500.0,0.88,1716.0,Private,11980.0,9.0,50177,IA,41.685742,-92.532032,-6,1,"41.685742,-92.532032"
9222,Iowa State University,Ames,IA,"Ames, IA",0.9209999999999999,21940.0,53700.0,0.7,34992.0,Public,8356.0,19.0,50010,IA,42.02933,-93.60965999999999,-6,1,"42.02933,-93.60966"
9238,University of Iowa,Iowa City,IA,"Iowa City, IA",0.826,24806.0,59800.0,0.71,31656.0,Public,10108.0,16.0,52244,IA,41.572682,-91.661901,-6,1,"41.572682,-91.661901"
9250,Luther College,Decorah,IA,"Decorah, IA",0.623,57885.0,50000.0,0.79,2005.0,Private,8500.0,11.0,52101,IA,43.345879,-91.77186999999999,-6,1,"43.345879,-91.77187"
9251,University of Northern Iowa,Cedar Falls,IA,"Cedar Falls, IA",0.79,21294.0,47700.0,0.66,11187.0,Public,8629.0,18.0,50614,IA,42.469768,-92.309475,-6,1,"42.469768,-92.309475"
9257,Northwestern College,Orange City,IA,"Orange City, IA",0.695,45900.0,38400.0,0.65,1299.0,Private,8900.0,12.0,32763,FL,28.945857,-81.30512,-5,1,"28.945857,-81.30512"
9319,Bethel University,Saint Paul,MN,"Saint Paul, MN",0.785,53200.0,50100.0,0.74,3692.0,Private,,11.0,55165,MN,45.005902,-93.105869,-6,1,"45.005902,-93.105869"
9378,Hamline University,Saint Paul,MN,"Saint Paul, MN",0.677,55256.0,55100.0,0.64,3526.0,Private,,13.0,55165,MN,45.005902,-93.105869,-6,1,"45.005902,-93.105869"
9437,Macalester College,Saint Paul,MN,"Saint Paul, MN",0.32299999999999995,71053.0,54100.0,0.9,2174.0,Private,,10.0,55165,MN,45.005902,-93.105869,-6,1,"45.005902,-93.105869"
9496,University of St Thomas,Saint Paul,MN,"Saint Paul, MN",0.805,60458.0,62000.0,0.74,10035.0,Private,,14.0,55165,MN,45.005902,-93.105869,-6,1,"45.005902,-93.105869"
9555,St Catherine University,Saint Paul,MN,"Saint Paul, MN",0.6729999999999999,53634.0,50100.0,0.58,4859.0,Private,,10.0,55165,MN,45.005902,-93.105869,-6,1,"45.005902,-93.105869"
9614,Saint Ambrose University,Davenport,IA,"Davenport, IA",0.768,47438.0,48300.0,0.6,3045.0,Private,9869.0,12.0,52807,IA,41.565433,-90.53924,-6,1,"41.565433,-90.53924"
9632,Simpson College,Indianola,IA,"Indianola, IA",0.805,54008.0,48000.0,0.7,1444.0,Private,7963.0,11.0,38751,MS,33.45139,-90.65824,-6,1,"33.45139,-90.65824"
9639,Upper Iowa University,Fayette,IA,"Fayette, IA",0.513,45237.0,42100.0,0.4,4392.0,Private,8120.0,17.0,52142,IA,42.834286,-91.79794,-6,1,"42.834286,-91.79794"
9646,Wartburg College,Waverly,IA,"Waverly, IA",0.7509999999999999,55610.0,48100.0,0.7,1498.0,Private,9460.0,11.0,45690,OH,39.123071,-83.0009,-5,1,"39.123071,-83.0009"
9665,Baker University,Baldwin City,KS,"Baldwin City, KS",0.88,44530.0,56000.0,0.59,2769.0,Private,8230.0,7.0,66006,KS,38.789719,-95.21058000000001,-6,1,"38.789719,-95.21058"
9666,Benedictine College,Atchison,KS,"Atchison, KS",0.971,46380.0,42600.0,0.64,2124.0,Private,9560.0,13.0,66002,KS,39.553785999999995,-95.13472,-6,1,"39.553786,-95.13472"
9667,Friends University,Wichita,KS,"Wichita, KS",0.45799999999999996,42874.0,46500.0,0.38,1926.0,Private,7590.0,10.0,67227,KS,37.62812,-97.491566,-6,1,"37.62812,-97.491566"
9707,Newman University,Wichita,KS,"Wichita, KS",0.675,45784.0,46400.0,0.49,3373.0,Private,7674.0,11.0,67227,KS,37.62812,-97.491566,-6,1,"37.62812,-97.491566"
9747,Wichita State University,Wichita,KS,"Wichita, KS",0.917,25438.0,43800.0,0.44,15778.0,Public,9853.0,20.0,67227,KS,37.62812,-97.491566,-6,1,"37.62812,-97.491566"
9787,Kansas Wesleyan University,Salina,KS,"Salina, KS",0.606,42820.0,42500.0,0.37,741.0,Private,8600.0,12.0,84654,UT,38.915721999999995,-111.72893,-7,1,"38.915722,-111.72893"
9792,Pittsburg State University,Pittsburg,KS,"Pittsburg, KS",0.956,20252.0,43600.0,0.49,6625.0,Public,7572.0,18.0,74560,OK,34.66625,-95.78885,-6,1,"34.66625,-95.78885"
9801,University of Saint Mary,Leavenworth,KS,"Leavenworth, KS",0.84,42940.0,41200.0,0.38,1254.0,Private,7940.0,9.0,66048,KS,39.298776000000004,-94.93555,-6,1,"39.298776,-94.93555"
